Block | ref time | proof size | Block fullness | Ideal max proof
18179358 | 271554459 | 6811 | 0.01357772295 | 50163050.351531886
18179353 | 1404674459 | 72347 | 0.07023372295 | 103008920.73100619
18179342 | 403984850 | 5698 | 0.0201992425 | 28208978.628777787
18179340 | 1107631279 | 17156 | 0.05538156395 | 30977817.844741456
18179327 | 1758891906 | 63653 | 0.0879445953 | 72378523.98190524
18179320 | 1072417000 | 83866 | 0.05362085 | 156405577.30808073
18179278 | 1127749000 | 8877 | 0.05638745 | 15742864.768667497
18179275 | 780753745 | 56105 | 0.03903768725 | 143720091.92219755
18179274 | 1853170745 | 139971 | 0.09265853725 | 151061093.94145438
18179272 | 9015125845 | 322039 | 0.45075629225 | 71444149.65180111
18179267 | 12992762416 | 299900 | 0.6496381208 | 46164162.84664556
18179266 | 9731617872 | 277256 | 0.4865808936 | 56980453.537479386
18179265 | 14735021930 | 161777 | 0.7367510965 | 21958162.094163913
18179263 | 41672861008 | 518792 | 2.0836430504 | 24898314.512190882
18179262 | 34685714072 | 465956 | 1.7342857036 | 26867314.82781509
18179261 | 6238044404 | 250838 | 0.3119022202 | 80421998.86847743
18179259 | 15221519036 | 318770 | 0.7610759518 | 41884124.60623486
18179255 | 8234372100 | 265934 | 0.411718605 | 64591203.01352425
18179250 | 14722437112 | 314996 | 0.7361218556 | 42791284.84009652
18179249 | 7735290176 | 262160 | 0.3867645088 | 67782848.22808436
18179245 | 13724273264 | 307448 | 0.6862136632 | 44803538.094284914
18179244 | 1133120000 | 65536 | 0.056656 | 115673538.54843265
18179243 | 6380577040 | 19959 | 0.319028852 | 6256173.971374853
18179232 | 38367388518 | 391486 | 1.9183694259 | 20407226.82057628
18179228 | 25702239440 | 398024 | 1.285111972 | 30971931.525979124
18179225 | 18990124305 | 397519 | 0.94950621525 | 41865866.02756838
18179222 | 1539848649 | 59879 | 0.07699243245 | 77772578.54385403
18179221 | 18715092504 | 345188 | 0.9357546252 | 36888730.30429559
18179218 | 1273195649 | 59879 | 0.06365978245 | 94060956.06284939
18179216 | 8733454024 | 269708 | 0.4366727012 | 61764337.28484239
18179214 | 1273195649 | 59879 | 0.06365978245 | 94060956.06284939
18179212 | 32689386376 | 450860 | 1.6344693188 | 27584488.42166177
18179211 | 1273195649 | 59879 | 0.06365978245 | 94060956.06284939
18179207 | 1273195649 | 59879 | 0.06365978245 | 94060956.06284939
18179206 | 24204993668 | 386702 | 1.2102496834 | 31952249.631135907
18179203 | 1273195649 | 59879 | 0.06365978245 | 94060956.06284939
18179202 | 17217846732 | 333866 | 0.8608923366 | 38781388.31140804
18179200 | 2406315649 | 125415 | 0.12031578245 | 104238195.06149918
18179198 | 9731617872 | 277256 | 0.4865808936 | 56980453.537479386
18179196 | 37987764000 | 83866 | 1.8993882 | 4415421.765808591
18179195 | 1273195649 | 59879 | 0.06365978245 | 94060956.06284939
18179193 | 21709584048 | 367832 | 1.0854792024 | 33886600.42373189
18179191 | 1273195649 | 59879 | 0.06365978245 | 94060956.06284939
18179189 | 27698567136 | 413120 | 1.3849283568 | 29829701.873860862
18179187 | 67049100681 | 759823 | 3.35245503405 | 22664673.86684321
18179186 | 1273195649 | 59879 | 0.06365978245 | 94060956.06284939
18179185 | 34186632148 | 462182 | 1.7093316074 | 27038755.850481678
18179182 | 1273195649 | 59879 | 0.06365978245 | 94060956.06284939
18179180 | 22707747896 | 375380 | 1.1353873948 | 33061843.184028275
18179178 | 1273195649 | 59879 | 0.06365978245 | 94060956.06284939
18179177 | 736938000 | 4182 | 0.0368469 | 11349665.779210733
18179175 | 5738962480 | 247064 | 0.286948124 | 86100580.32649831
18179174 | 1273195649 | 59879 | 0.06365978245 | 94060956.06284939
18179170 | 35459827797 | 522061 | 1.77299138985 | 29445207.855418168
18179166 | 11271466521 | 337135 | 0.56357332605 | 59820964.62281636
18179165 | 736938000 | 4182 | 0.0368469 | 11349665.779210733
18179161 | 9008485825 | 322039 | 0.45042429125 | 71496810.06463704

Max ideal: 156405577.30808073 | Min ideal: 4415421.765808591 | Avg ideal: 17242610.203365788
